id_producto,sku,nombre_producto,categoria,subcategoria,marca,precio_lista,costo_unitario,estado_producto,fecha_actualizacion
P0089,SKU-JUG-0089,Adventure Construccion Modelo 0089,Jugueteria,Construccion,Adventure,2031300,1100000,Descontinuado,2024-03-08
P0090,SKU-BEL-0090,Contoso Cuidado corporal Modelo 0090,Belleza,Cuidado corporal,Contoso,2291100,1243400,Activo,2024-10-21
P0091,SKU-JUG-0091,Northwind Exterior Modelo 0091,Jugueteria,Exterior,Northwind,1861400,1058600,Activo,2024-08-04
P0092,SKU-MOD-0092,Tailspin Calzado Modelo 0092,Moda,Calzado,Tailspin,85300,66000,Activo,2025-11-18
P0093,SKU-ALI-0093,Adventure Despensa Modelo 0093,Alimentos,Despensa,Adventure,2009900,1182500,Activo,2024-03-11
P0094,SKU-TEC-0094,Tailspin Accesorios Modelo 0094,Tecnologia,Accesorios,Tailspin,204900,123500,Activo,2024-12-20
P0095,SKU-DEP-0095,Northwind Outdoor Modelo 0095,Deportes,Outdoor,Northwind,968900,624600,Activo,2025-05-22
P0096,SKU-TEC-0096,WideWorld Celulares Modelo 0096,Tecnologia,Celulares,WideWorld,1781900,1043400,Activo,2025-06-03
P0097,SKU-MUE-0097,Proseware Comedor Modelo 0097,Muebles,Comedor,Proseware,1557700,1105400,Activo,2025-05-11
P0098,SKU-DEP-0098,Andina Outdoor Modelo 0098,Deportes,Outdoor,Andina,418900,227800,Activo,2025-10-20
P0099,SKU-ELE-0099,Litware Climatizacion Modelo 0099,Electrohogar,Climatizacion,Litware,2384800,1367700,Activo,2026-06-17
P0100,SKU-ALI-0100,Contoso Gourmet Modelo 0100,Alimentos,Gourmet,Contoso,1159800,675600,Activo,2025-09-21
P0101,SKU-TEC-0101,Litware Accesorios Modelo 0101,Tecnologia,Accesorios,Litware,1800500,1149100,Activo,2025-11-02
P0102,SKU-ALI-0102,Contoso Snacks Modelo 0102,Alimentos,Snacks,Contoso,1404100,959600,Activo,2025-08-10
P0103,SKU-MUE-0103,Proseware Sala Modelo 0103,Muebles,Sala,Proseware,190300,144300,Activo,2024-10-01
P0104,SKU-TEC-0104,Contoso Celulares Modelo 0104,Tecnologia,Celulares,Contoso,1901800,1295500,Activo,2025-10-26
P0105,SKU-MUE-0105,WideWorld Comedor Modelo 0105,Muebles,Comedor,WideWorld,2273700,1528500,Activo,2025-09-18
P0106,SKU-JUG-0106,Litware Construccion Modelo 0106,Jugueteria,Construccion,Litware,2222400,1599600,Activo,2025-06-28
P0107,SKU-MOD-0107,Tailspin Infantil Modelo 0107,Moda,Infantil,Tailspin,2439300,1722500,Activo,2025-06-07
P0108,SKU-MOD-0108,Tailspin Mujer Modelo 0108,Moda,Mujer,Tailspin,2405600,1625600,Activo,2025-09-21
P0109,SKU-JUG-0109,Litware Didacticos Modelo 0109,Jugueteria,Didacticos,Litware,833700,459600,Activo,2026-06-06
P0110,SKU-DEP-0110,Northwind Ciclismo Modelo 0110,Deportes,Ciclismo,Northwind,1649700,1249700,Activo,2025-01-21
P0111,SKU-DEP-0111,WideWorld Outdoor Modelo 0111,Deportes,Outdoor,WideWorld,186600,119400,Activo,2026-03-07
P0112,SKU-MOD-0112,Northwind Mujer Modelo 0112,Moda,Mujer,Northwind,1700400,1194000,Activo,2024-04-25
P0113,SKU-MOD-0113,Adventure Mujer Modelo 0113,Moda,Mujer,Adventure,2450000,1426700,Activo,2024-08-01
P0114,SKU-TEC-0114,Litware Audio Modelo 0114,Tecnologia,Audio,Litware,1725000,1310900,Activo,2024-10-24
P0115,SKU-MOD-0115,Tailspin Hombre Modelo 0115,Moda,Hombre,Tailspin,1293500,921500,Activo,2025-09-11
P0116,SKU-JUG-0116,Litware Coleccionables Modelo 0116,Jugueteria,Coleccionables,Litware,1493800,873900,Activo,2024-08-12
P0117,SKU-ALI-0117,Northwind Gourmet Modelo 0117,Alimentos,Gourmet,Northwind,1069100,793100,Activo,2025-03-29
P0118,SKU-MOD-0118,Adventure Hombre Modelo 0118,Moda,Hombre,Adventure,2428100,1808800,Activo,2024-12-14
P0119,SKU-ELE-0119,WideWorld Aspiradoras Modelo 0119,Electrohogar,Aspiradoras,WideWorld,1542900,922600,Activo,2025-03-19
P0120,SKU-ELE-0120,Litware Lavado Modelo 0120,Electrohogar,Lavado,Litware,1573000,1076600,Activo,2024-12-12
P0121,SKU-JUG-0121,Northwind Didacticos Modelo 0121,Jugueteria,Didacticos,Northwind,1460700,865700,Activo,2026-05-01
P0122,SKU-TEC-0122,Litware Celulares Modelo 0122,Tecnologia,Celulares,Litware,1710300,1273800,Activo,2026-04-22
P0123,SKU-TEC-0123,Fabrikam Accesorios Modelo 0123,Tecnologia,Accesorios,Fabrikam,2150500,1625900,Activo,2025-06-21
P0124,SKU-DEP-0124,Fabrikam Fitness Modelo 0124,Deportes,Fitness,Fabrikam,1003900,556600,Activo,2025-03-26
P0125,SKU-MOD-0125,Adventure Infantil Modelo 0125,Moda,Infantil,Adventure,1718600,1156900,Activo,2026-05-07
P0126,SKU-BEL-0126,Adventure Cuidado facial Modelo 0126,Belleza,Cuidado facial,Adventure,861400,513700,Activo,2025-02-02
P0127,SKU-ELE-0127,Andina Aspiradoras Modelo 0127,Electrohogar,Aspiradoras,Andina,402000,210900,Activo,2024-06-26
P0128,SKU-ALI-0128,Litware Despensa Modelo 0128,Alimentos,Despensa,Litware,274200,190100,Activo,2025-02-04
P0129,SKU-JUG-0129,Litware Didacticos Modelo 0129,Jugueteria,Didacticos,Litware,1610900,906500,Activo,2025-01-29
P0130,SKU-MOD-0130,Northwind Mujer Modelo 0130,Moda,Mujer,Northwind,2481900,1478000,Activo,2025-03-22
P0131,SKU-ELE-0131,Adventure Climatizacion Modelo 0131,Electrohogar,Climatizacion,Adventure,1596200,1086000,Activo,2026-02-05
P0132,SKU-ALI-0132,WideWorld Bebidas Modelo 0132,Alimentos,Bebidas,WideWorld,1051000,567200,Activo,2024-09-21
P0133,SKU-MOD-0133,Contoso Hombre Modelo 0133,Moda,Hombre,Contoso,1272800,939900,Activo,2024-06-12
P0134,SKU-MUE-0134,Proseware Dormitorio Modelo 0134,Muebles,Dormitorio,Proseware,1997500,1514400,Activo,2025-02-01
P0135,SKU-ALI-0135,Adventure Despensa Modelo 0135,Alimentos,Despensa,Adventure,1966800,1270900,Activo,2025-05-11
P0136,SKU-DEP-0136,WideWorld Outdoor Modelo 0136,Deportes,Outdoor,WideWorld,1389900,1079400,Activo,2024-08-08
P0137,SKU-JUG-0137,WideWorld Didacticos Modelo 0137,Jugueteria,Didacticos,WideWorld,2088000,1293400,Activo,2025-10-22
P0138,SKU-JUG-0138,Litware Coleccionables Modelo 0138,Jugueteria,Coleccionables,Litware,2070900,1362800,Activo,2024-05-17
P0139,SKU-MOD-0139,Proseware Infantil Modelo 0139,Moda,Infantil,Proseware,2307900,1777400,Activo,2024-08-12
P0140,SKU-JUG-0140,Fabrikam Didacticos Modelo 0140,Jugueteria,Didacticos,Fabrikam,545200,362200,Activo,2025-03-24
P0141,SKU-TEC-0141,Litware Celulares Modelo 0141,Tecnologia,Celulares,Litware,2013400,1102100,Activo,2025-07-02
P0142,SKU-MUE-0142,Adventure Comedor Modelo 0142,Muebles,Comedor,Adventure,1793200,1337400,Activo,2024-03-02
P0143,SKU-DEP-0143,WideWorld Ciclismo Modelo 0143,Deportes,Ciclismo,WideWorld,939400,589300,Activo,2025-01-05
P0144,SKU-ALI-0144,Litware Bebidas Modelo 0144,Alimentos,Bebidas,Litware,1552900,1028900,Activo,2024-11-18
P0145,SKU-ELE-0145,Proseware Lavado Modelo 0145,Electrohogar,Lavado,Proseware,1153100,815800,Activo,2025-06-07
P0146,SKU-MUE-0146,Northwind Comedor Modelo 0146,Muebles,Comedor,Northwind,1777000,1178300,Activo,2025-07-01
P0147,SKU-BEL-0147,Tailspin Cuidado facial Modelo 0147,Belleza,Cuidado facial,Tailspin,2141000,1589800,Activo,2024-10-10
P0148,SKU-ALI-0148,Proseware Despensa Modelo 0148,Alimentos,Despensa,Proseware,1357100,869900,Activo,2025-02-19
P0149,SKU-TEC-0149,Fabrikam Celulares Modelo 0149,Tecnologia,Celulares,Fabrikam,2258800,1398000,Activo,2024-10-29
P0150,SKU-ALI-0150,Contoso Bebidas Modelo 0150,Alimentos,Bebidas,Contoso,1202500,707300,Activo,2025-11-16
P0151,SKU-TEC-0151,Andina Computadores Modelo 0151,Tecnologia,Computadores,Andina,1021000,714200,Activo,2025-08-07
P0152,SKU-MUE-0152,Tailspin Oficina Modelo 0152,Muebles,Oficina,Tailspin,702100,369800,Activo,2024-12-22
P0153,SKU-ELE-0153,Northwind Cocina Modelo 0153,Electrohogar,Cocina,Northwind,628200,416800,Activo,2024-02-02
P0154,SKU-ALI-0154,Litware Despensa Modelo 0154,Alimentos,Despensa,Litware,186400,120800,Activo,2026-01-22
P0155,SKU-MOD-0155,Fabrikam Infantil Modelo 0155,Moda,Infantil,Fabrikam,1823900,969300,Activo,2024-01-25
P0156,SKU-MOD-0156,Proseware Hombre Modelo 0156,Moda,Hombre,Proseware,602000,405100,Activo,2024-03-27
P0157,SKU-ALI-0157,Litware Bebidas Modelo 0157,Alimentos,Bebidas,Litware,1785400,1128000,Activo,2024-12-10
P0158,SKU-TEC-0158,Tailspin Accesorios Modelo 0158,Tecnologia,Accesorios,Tailspin,969500,607700,Activo,2025-03-29
P0159,SKU-JUG-0159,Andina Exterior Modelo 0159,Jugueteria,Exterior,Andina,1233800,780400,Activo,2024-02-21
P0160,SKU-MUE-0160,Fabrikam Sala Modelo 0160,Muebles,Sala,Fabrikam,1538800,887400,Activo,2025-05-29
P0161,SKU-DEP-0161,Adventure Fitness Modelo 0161,Deportes,Fitness,Adventure,1100300,619100,Activo,2024-07-26
P0162,SKU-ALI-0162,Contoso Gourmet Modelo 0162,Alimentos,Gourmet,Contoso,1475800,1012700,Activo,2025-06-23
P0163,SKU-JUG-0163,Tailspin Coleccionables Modelo 0163,Jugueteria,Coleccionables,Tailspin,2186700,1604700,Activo,2024-01-01
P0164,SKU-TEC-0164,Northwind Audio Modelo 0164,Tecnologia,Audio,Northwind,1247200,907800,Activo,2026-03-05
P0165,SKU-BEL-0165,Proseware Cuidado facial Modelo 0165,Belleza,Cuidado facial,Proseware,1292400,903900,Descontinuado,2024-08-01
P0166,SKU-MOD-0166,WideWorld Infantil Modelo 0166,Moda,Infantil,WideWorld,1763500,1331700,Activo,2024-02-11
P0167,SKU-DEP-0167,Northwind Outdoor Modelo 0167,Deportes,Outdoor,Northwind,1448400,904600,Activo,2026-05-13
P0168,SKU-TEC-0168,Northwind Celulares Modelo 0168,Tecnologia,Celulares,Northwind,819800,459300,Activo,2024-01-24
P0169,SKU-BEL-0169,Litware Perfumes Modelo 0169,Belleza,Perfumes,Litware,496700,303200,Activo,2026-02-26
P0170,SKU-ALI-0170,Adventure Gourmet Modelo 0170,Alimentos,Gourmet,Adventure,1309300,1004800,Activo,2026-03-16
P0171,SKU-MUE-0171,Andina Sala Modelo 0171,Muebles,Sala,Andina,769700,512900,Activo,2024-02-20
P0172,SKU-JUG-0172,Contoso Exterior Modelo 0172,Jugueteria,Exterior,Contoso,1657700,1172800,Activo,2024-05-13
P0173,SKU-JUG-0173,Andina Didacticos Modelo 0173,Jugueteria,Didacticos,Andina,113400,73700,Activo,2024-11-26
P0174,SKU-MUE-0174,Tailspin Oficina Modelo 0174,Muebles,Oficina,Tailspin,502600,286900,Activo,2025-09-28
P0175,SKU-TEC-0175,Adventure Audio Modelo 0175,Tecnologia,Audio,Adventure,2044900,1124700,Activo,2025-11-12
P0176,SKU-MUE-0176,Litware Dormitorio Modelo 0176,Muebles,Dormitorio,Litware,677100,380800,Descontinuado,2026-01-08
P0177,SKU-ALI-0177,Northwind Despensa Modelo 0177,Alimentos,Despensa,Northwind,502400,303100,Activo,2025-04-11
P0178,SKU-ELE-0178,Litware Cocina Modelo 0178,Electrohogar,Cocina,Litware,1285000,810900,Activo,2025-05-29
P0179,SKU-TEC-0179,Andina Audio Modelo 0179,Tecnologia,Audio,Andina,1779000,1344900,Activo,2026-01-29
P0180,SKU-BEL-0180,Adventure Cuidado corporal Modelo 0180,Belleza,Cuidado corporal,Adventure,1379800,969000,Activo,2025-01-01
P0181,SKU-BEL-0181,Adventure Maquillaje Modelo 0181,Belleza,Maquillaje,Adventure,2477100,1326100,Activo,2025-05-04
P0182,SKU-MUE-0182,Northwind Oficina Modelo 0182,Muebles,Oficina,Northwind,621800,343900,Activo,2025-02-22
P0183,SKU-JUG-0183,Proseware Didacticos Modelo 0183,Jugueteria,Didacticos,Proseware,1141100,747100,Activo,2024-06-11
P0184,SKU-BEL-0184,Fabrikam Maquillaje Modelo 0184,Belleza,Maquillaje,Fabrikam,2188100,1386500,Activo,2024-06-09
P0185,SKU-MOD-0185,Adventure Calzado Modelo 0185,Moda,Calzado,Adventure,1273900,952800,Activo,2024-08-22
P0186,SKU-ELE-0186,Proseware Lavado Modelo 0186,Electrohogar,Lavado,Proseware,2428000,1377400,Activo,2024-01-05
P0187,SKU-DEP-0187,Tailspin Ciclismo Modelo 0187,Deportes,Ciclismo,Tailspin,845300,458000,Activo,2024-06-30
P0188,SKU-TEC-0188,Andina Celulares Modelo 0188,Tecnologia,Celulares,Andina,2477600,1831100,Activo,2024-06-17
P0189,SKU-TEC-0189,Litware Video Modelo 0189,Tecnologia,Video,Litware,171300,126200,Activo,2026-02-14
P0190,SKU-DEP-0190,Proseware Fitness Modelo 0190,Deportes,Fitness,Proseware,2496000,1642900,Descontinuado,2024-12-16
P0191,SKU-JUG-0191,Contoso Didacticos Modelo 0191,Jugueteria,Didacticos,Contoso,2112500,1646100,Activo,2025-12-10
P0192,SKU-JUG-0192,Proseware Didacticos Modelo 0192,Jugueteria,Didacticos,Proseware,2019800,1234000,Activo,2025-08-08
P0193,SKU-MOD-0193,WideWorld Calzado Modelo 0193,Moda,Calzado,WideWorld,1816300,1327500,Activo,2026-03-16
P0194,SKU-ELE-0194,Tailspin Cocina Modelo 0194,Electrohogar,Cocina,Tailspin,25800,16200,Activo,2025-08-02
P0195,SKU-BEL-0195,Proseware Cuidado facial Modelo 0195,Belleza,Cuidado facial,Proseware,648900,404200,Activo,2024-12-03
P0196,SKU-MUE-0196,Proseware Sala Modelo 0196,Muebles,Sala,Proseware,820600,580400,Activo,2025-05-06
P0197,SKU-MOD-0197,Litware Mujer Modelo 0197,Moda,Mujer,Litware,352300,266300,Activo,2025-11-27
P0198,SKU-BEL-0198,Litware Perfumes Modelo 0198,Belleza,Perfumes,Litware,1174600,638600,Activo,2024-06-02
P0199,SKU-JUG-0199,WideWorld Coleccionables Modelo 0199,Jugueteria,Coleccionables,WideWorld,2117000,1587800,Activo,2024-04-25
P0200,SKU-MOD-0200,Andina Hombre Modelo 0200,Moda,Hombre,Andina,1452200,796300,Activo,2025-03-30
P0201,SKU-ELE-0201,Andina Climatizacion Modelo 0201,Electrohogar,Climatizacion,Andina,215100,158700,Activo,2024-10-15
P0202,SKU-MUE-0202,Contoso Oficina Modelo 0202,Muebles,Oficina,Contoso,97000,70700,Activo,2024-06-17
P0203,SKU-MUE-0203,Northwind Sala Modelo 0203,Muebles,Sala,Northwind,1071900,772000,Activo,2026-06-03
P0204,SKU-JUG-0204,WideWorld Didacticos Modelo 0204,Jugueteria,Didacticos,WideWorld,1168100,862900,Activo,2024-09-26
P0205,SKU-BEL-0205,Tailspin Perfumes Modelo 0205,Belleza,Perfumes,Tailspin,757300,497800,Activo,2026-01-13
P0206,SKU-JUG-0206,WideWorld Exterior Modelo 0206,Jugueteria,Exterior,WideWorld,2235000,1518000,Activo,2024-03-26
P0207,SKU-JUG-0207,WideWorld Coleccionables Modelo 0207,Jugueteria,Coleccionables,WideWorld,1908600,1472800,Activo,2024-03-31
P0208,SKU-ELE-0208,Proseware Aspiradoras Modelo 0208,Electrohogar,Aspiradoras,Proseware,529300,337800,Activo,2024-04-07
