id_tienda,nombre_tienda,ciudad,region,departamento,formato_tienda,fecha_apertura,estado_tienda
T026,Tienda Bogota 026,Bogota,Centro,Cundinamarca,Marketplace hub,2020-08-08,Activa
T027,Tienda Cali 027,Cali,Occidente,Valle del Cauca,Dark store,2021-11-02,Activa
T028,Tienda Medellin 028,Medellin,Antioquia,Antioquia,Dark store,2023-09-02,Activa
T029,Tienda Bucaramanga 029,Bucaramanga,Oriente,Santander,Outlet,2020-12-01,Activa
T030,Tienda Manizales 030,Manizales,Eje Cafetero,Caldas,Marketplace hub,2023-10-14,Activa
T031,Tienda Bogota 031,Bogota,Centro,Cundinamarca,Dark store,2019-10-07,Activa
T032,Tienda Villavicencio 032,Villavicencio,Llanos,Meta,Outlet,2022-10-06,Activa
T033,Tienda Pereira 033,Pereira,Eje Cafetero,Risaralda,Calle,2023-07-05,Activa
T034,Tienda Pereira 034,Pereira,Eje Cafetero,Risaralda,Marketplace hub,2022-02-11,Activa
T035,Tienda Medellin 035,Medellin,Antioquia,Antioquia,Dark store,2019-04-26,Activa
T036,Tienda Cartagena 036,Cartagena,Caribe,Bolivar,Dark store,2021-08-29,Activa
T037,Tienda Barranquilla 037,Barranquilla,Caribe,Atlantico,Outlet,2019-05-10,Activa
T038,Tienda Barranquilla 038,Barranquilla,Caribe,Atlantico,Calle,2020-10-24,Activa
T039,Tienda Cartagena 039,Cartagena,Caribe,Bolivar,Marketplace hub,2020-11-18,Activa
T040,Tienda Ibague 040,Ibague,Centro,Tolima,Calle,2021-07-03,Activa
T041,Tienda Barranquilla 041,Barranquilla,Caribe,Atlantico,Calle,2019-01-29,Activa
T042,Tienda Villavicencio 042,Villavicencio,Llanos,Meta,Centro comercial,2024-01-12,Activa
T043,Tienda Pereira 043,Pereira,Eje Cafetero,Risaralda,Centro comercial,2022-02-15,Activa
T044,Tienda Pasto 044,Pasto,Sur,Narino,Dark store,2023-03-17,Activa
T045,Tienda Pasto 045,Pasto,Sur,Narino,Outlet,2021-12-28,En remodelacion
T046,Tienda Pereira 046,Pereira,Eje Cafetero,Risaralda,Dark store,2022-05-22,Activa
T047,Tienda Bucaramanga 047,Bucaramanga,Oriente,Santander,Dark store,2023-10-19,Activa
T048,Tienda Medellin 048,Medellin,Antioquia,Antioquia,Calle,2021-03-14,Activa
T049,Tienda Cartagena 049,Cartagena,Caribe,Bolivar,Outlet,2022-11-22,Activa
T050,Tienda Cartagena 050,Cartagena,Caribe,Bolivar,Calle,2023-05-02,Activa
T051,Tienda Cali 051,Cali,Occidente,Valle del Cauca,Centro comercial,2023-10-07,Activa
T052,Tienda Bucaramanga 052,Bucaramanga,Oriente,Santander,Marketplace hub,2021-08-11,Activa
T053,Tienda Pereira 053,Pereira,Eje Cafetero,Risaralda,Outlet,2020-09-26,Activa
T054,Tienda Villavicencio 054,Villavicencio,Llanos,Meta,Marketplace hub,2024-03-11,Activa
T055,Tienda Pereira 055,Pereira,Eje Cafetero,Risaralda,Centro comercial,2018-04-17,Activa
T056,Tienda Cartagena 056,Cartagena,Caribe,Bolivar,Dark store,2021-06-29,Activa
T057,Tienda Manizales 057,Manizales,Eje Cafetero,Caldas,Outlet,2019-04-22,Activa
T058,Tienda Bogota 058,Bogota,Centro,Cundinamarca,Dark store,2022-05-19,Activa
T059,Tienda Ibague 059,Ibague,Centro,Tolima,Dark store,2023-12-25,Activa
T060,Tienda Pasto 060,Pasto,Sur,Narino,Centro comercial,2018-03-15,Activa
